,filename,callname,pods,matrilines,pods_category,html
36,"BCS03-J01pod-J02,J07,J08andJ09mat-1",BCS03,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS03-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
37,"BCS06-J01pod-J02,J07,J08andJ09mat-1",BCS06,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS06-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
38,BCS31-L01pod-L09andL35mat-2,BCS31,L01pod,L09andL35mat-2,['L'],"<figure>
    <img src=""BCS31-L01pod-L09andL35mat-2.jpg""/>
    Pod: L01pod
</figure>"
39,BCS33-K01pod-2,BCS33,K01pod,2,['K'],"<figure>
    <img src=""BCS33-K01pod-2.jpg""/>
    Pod: K01pod
</figure>"
40,"BCS01-J01pod-J02,J07,J08andJ09mat-2",BCS01,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS01-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
41,"BCS02ii-J01pod-J02,J07,J08andJ09mat-2",BCS02ii,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS02ii-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
44,BCS06-Jpod,BCS06,Jpod,,['J'],"<figure>
    <img src=""BCS06-Jpod.jpg""/>
    Pod: Jpod
</figure>"
46,BCS40-L01pod-L09andL35mat-1,BCS40,L01pod,L09andL35mat-1,['L'],"<figure>
    <img src=""BCS40-L01pod-L09andL35mat-1.jpg""/>
    Pod: L01pod
</figure>"
48,BCS31-L01pod-L09andL35mat-1,BCS31,L01pod,L09andL35mat-1,['L'],"<figure>
    <img src=""BCS31-L01pod-L09andL35mat-1.jpg""/>
    Pod: L01pod
</figure>"
50,BCS07-J01pod-2,BCS07,J01pod,2,['J'],"<figure>
    <img src=""BCS07-J01pod-2.jpg""/>
    Pod: J01pod
</figure>"
51,"BCS41-J01pod-J02,J07,J08andJ09mat-1",BCS41,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS41-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
52,"BCS03-J01pod-J02,J07,J08andJ09mat-2",BCS03,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS03-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
53,"BCS13ii-K01andL01pods-K01,K04,K07,K18,L04,L12andL25mat-2",BCS13ii,K01andL01pods,"K01,K04,K07,K18,L04,L12andL25mat-2","['K', 'L']","<figure>
    <img src=""BCS13ii-K01andL01pods-K01,K04,K07,K18,L04,L12andL25mat-2.jpg""/>
    Pod: K01andL01pods
</figure>"
55,"BCS10-J01pod-J02,J07,J08andJ09mat-1",BCS10,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS10-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
56,BCS01-Jpod,BCS01,Jpod,,['J'],"<figure>
    <img src=""BCS01-Jpod.jpg""/>
    Pod: Jpod
</figure>"
57,"BCS02i-J01pod-J02,J07,J08andJ09mat-1",BCS02i,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS02i-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
58,"BCS37i-J01pod-J02,J07,J08andJ09mat-1",BCS37i,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS37i-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
59,BCS37ii-L01pod-L09andL35mat-2,BCS37ii,L01pod,L09andL35mat-2,['L'],"<figure>
    <img src=""BCS37ii-L01pod-L09andL35mat-2.jpg""/>
    Pod: L01pod
</figure>"
60,BCS42-JandLpods,BCS42,JandLpods,,"['J', 'L']","<figure>
    <img src=""BCS42-JandLpods.jpg""/>
    Pod: JandLpods
</figure>"
61,BCS22-K01pod-2,BCS22,K01pod,2,['K'],"<figure>
    <img src=""BCS22-K01pod-2.jpg""/>
    Pod: K01pod
</figure>"
63,BCS02i-Jpod,BCS02i,Jpod,,['J'],"<figure>
    <img src=""BCS02i-Jpod.jpg""/>
    Pod: Jpod
</figure>"
64,BCS33-K01pod-1,BCS33,K01pod,1,['K'],"<figure>
    <img src=""BCS33-K01pod-1.jpg""/>
    Pod: K01pod
</figure>"
65,BCS19-K01andL01pods,BCS19,K01andL01pods,,"['K', 'L']","<figure>
    <img src=""BCS19-K01andL01pods.jpg""/>
    Pod: K01andL01pods
</figure>"
66,"BCS14-J01pod-J02,J07,J08andJ09mat",BCS14,J01pod,"J02,J07,J08andJ09mat",['J'],"<figure>
    <img src=""BCS14-J01pod-J02,J07,J08andJ09mat.jpg""/>
    Pod: J01pod
</figure>"
68,"BCS02ii-J01pod-J02,J07,J08andJ09mat-1",BCS02ii,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS02ii-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
71,BCS04-Jpod,BCS04,Jpod,,['J'],"<figure>
    <img src=""BCS04-Jpod.jpg""/>
    Pod: Jpod
</figure>"
72,BCS10-JKandLpods,BCS10,JKandLpods,,"['J', 'K', 'L']","<figure>
    <img src=""BCS10-JKandLpods.jpg""/>
    Pod: JKandLpods
</figure>"
73,"BCS06-J01pod-J02,J07,J08andJ09mat-2",BCS06,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS06-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
74,BCS09-Jpod,BCS09,Jpod,,['J'],"<figure>
    <img src=""BCS09-Jpod.jpg""/>
    Pod: Jpod
</figure>"
75,"BCS42-J01pod-J02,J07,J08andJ09mat-1",BCS42,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS42-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
78,BCS17-K01andL01pods-1,BCS17,K01andL01pods,1,"['K', 'L']","<figure>
    <img src=""BCS17-K01andL01pods-1.jpg""/>
    Pod: K01andL01pods
</figure>"
80,BCS19-K01pod,BCS19,K01pod,,['K'],"<figure>
    <img src=""BCS19-K01pod.jpg""/>
    Pod: K01pod
</figure>"
81,BCS18-Lpod,BCS18,Lpod,,['L'],"<figure>
    <img src=""BCS18-Lpod.jpg""/>
    Pod: Lpod
</figure>"
82,BCS08ii-JandLpods,BCS08ii,JandLpods,,"['J', 'L']","<figure>
    <img src=""BCS08ii-JandLpods.jpg""/>
    Pod: JandLpods
</figure>"
83,BCS04-J01pod-2,BCS04,J01pod,2,['J'],"<figure>
    <img src=""BCS04-J01pod-2.jpg""/>
    Pod: J01pod
</figure>"
84,"BCS13i-J01pod-J02,J07,J08andJ09mat-1",BCS13i,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS13i-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
88,BCS04-J01pod-1,BCS04,J01pod,1,['J'],"<figure>
    <img src=""BCS04-J01pod-1.jpg""/>
    Pod: J01pod
</figure>"
90,BCS08i-L01pod-L09andL35mat-1,BCS08i,L01pod,L09andL35mat-1,['L'],"<figure>
    <img src=""BCS08i-L01pod-L09andL35mat-1.jpg""/>
    Pod: L01pod
</figure>"
95,"BCS08i-J01pod-J02,J07,J08andJ09mat-2",BCS08i,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS08i-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
96,BCS16-K01andL01pods-1,BCS16,K01andL01pods,1,"['K', 'L']","<figure>
    <img src=""BCS16-K01andL01pods-1.jpg""/>
    Pod: K01andL01pods
</figure>"
98,"BCS41-J01pod-J02,J07,J08andJ09mat-2",BCS41,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS41-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
105,BCS03-Jpod,BCS03,Jpod,,['J'],"<figure>
    <img src=""BCS03-Jpod.jpg""/>
    Pod: Jpod
</figure>"
106,"BCS19-J01,K01andL01pods",BCS19,"J01,K01andL01pods",,"['J', 'K', 'L']","<figure>
    <img src=""BCS19-J01,K01andL01pods.jpg""/>
    Pod: J01,K01andL01pods
</figure>"
108,BCS18-K01pod-1,BCS18,K01pod,1,['K'],"<figure>
    <img src=""BCS18-K01pod-1.jpg""/>
    Pod: K01pod
</figure>"
111,"BCS37ii-J01,K01andL01pods",BCS37ii,"J01,K01andL01pods",,"['J', 'K', 'L']","<figure>
    <img src=""BCS37ii-J01,K01andL01pods.jpg""/>
    Pod: J01,K01andL01pods
</figure>"
112,"BCS10-J01pod-J02,J07,J08andJ09mat-2",BCS10,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS10-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
116,BCS07-Jpod,BCS07,Jpod,,['J'],"<figure>
    <img src=""BCS07-Jpod.jpg""/>
    Pod: Jpod
</figure>"
118,BCS44-Jpod,BCS44,Jpod,,['J'],"<figure>
    <img src=""BCS44-Jpod.jpg""/>
    Pod: Jpod
</figure>"
119,"BCS36-J01,K01andL01pods",BCS36,"J01,K01andL01pods",,"['J', 'K', 'L']","<figure>
    <img src=""BCS36-J01,K01andL01pods.jpg""/>
    Pod: J01,K01andL01pods
</figure>"
120,"BCS13ii-K01andL01pods-K01,K04,K07,K18,L04,L12andL25mat-1",BCS13ii,K01andL01pods,"K01,K04,K07,K18,L04,L12andL25mat-1","['K', 'L']","<figure>
    <img src=""BCS13ii-K01andL01pods-K01,K04,K07,K18,L04,L12andL25mat-1.jpg""/>
    Pod: K01andL01pods
</figure>"
121,"BCS02iii-L01pod-JL04,L09,L26andL37mat-2",BCS02iii,L01pod,"JL04,L09,L26andL37mat-2",['L'],"<figure>
    <img src=""BCS02iii-L01pod-JL04,L09,L26andL37mat-2.jpg""/>
    Pod: L01pod
</figure>"
127,BCS31-Lpod,BCS31,Lpod,,['L'],"<figure>
    <img src=""BCS31-Lpod.jpg""/>
    Pod: Lpod
</figure>"
129,BCS08i-L01pod-L09andL35mat-2,BCS08i,L01pod,L09andL35mat-2,['L'],"<figure>
    <img src=""BCS08i-L01pod-L09andL35mat-2.jpg""/>
    Pod: L01pod
</figure>"
133,"BCS02i-J01pod-J02,J07,J08andJ09mat-2",BCS02i,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS02i-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
146,BCS19-Lpod,BCS19,Lpod,,['L'],"<figure>
    <img src=""BCS19-Lpod.jpg""/>
    Pod: Lpod
</figure>"
156,BCS17-KandLpods,BCS17,KandLpods,,"['K', 'L']","<figure>
    <img src=""BCS17-KandLpods.jpg""/>
    Pod: KandLpods
</figure>"
160,BCS22-K01pod-1,BCS22,K01pod,1,['K'],"<figure>
    <img src=""BCS22-K01pod-1.jpg""/>
    Pod: K01pod
</figure>"
166,BCS17-K01andL01pods-3,BCS17,K01andL01pods,3,"['K', 'L']","<figure>
    <img src=""BCS17-K01andL01pods-3.jpg""/>
    Pod: K01andL01pods
</figure>"
169,BCS40-L01pod-L09andL35mat-2,BCS40,L01pod,L09andL35mat-2,['L'],"<figure>
    <img src=""BCS40-L01pod-L09andL35mat-2.jpg""/>
    Pod: L01pod
</figure>"
